,trading_point,open,high,low,close,volume
0,2003/1/1,4416,4437,4400,4405,16638.0
1,2003/1/3,4411,4485,4381,4452,30522.0
2,2003/1/4,4551,4594,4536,4571,34522.0
3,2003/1/7,4573,4646,4563,4635,29242.0
4,2003/1/8,4687,4700,4639,4641,29228.0
5,2003/1/9,4650,4822,4642,4771,43932.0
6,2003/1/10,4765,4810,4752,4785,28134.0
7,2003/1/11,4845,4847,4792,4828,29798.0
8,2003/1/14,4868,5025,4851,5025,30692.0
9,2003/1/15,5025,5075,4993,5009,14340.0
10,2003/1/16,5088,5088,4960,5044,11278.0
11,2003/1/17,4990,5027,4932,4940,30322.0
12,2003/1/18,4930,4959,4903,4925,30126.0
13,2003/1/21,4892,4976,4882,4968,23498.0
14,2003/1/22,4968,5035,4931,4939,39820.0
15,2003/1/23,4910,5006,4910,5002,31334.0
16,2003/1/24,4998,5087,4996,5085,39858.0
17,2003/1/25,5085,5110,5053,5063,28302.0
18,2003/1/28,5014,5036,4941,4956,28746.0
19,2003/1/29,4957,5026,4941,5022,22528.0
20,2003/2/7,5007,5007,4766,4775,28156.0
21,2003/2/8,4781,4819,4622,4699,37950.0
22,2003/2/11,4679,4705,4620,4640,24830.0
23,2003/2/12,4669,4690,4622,4635,27616.0
24,2003/2/13,4619,4676,4530,4637,31978.0
25,2003/2/14,4610,4625,4485,4485,35554.0
26,2003/2/15,4512,4560,4472,4489,29160.0
27,2003/2/18,4580,4699,4580,4690,30584.0
28,2003/2/19,4682,4682,4610,4636,13434.0
29,2003/2/20,4680,4683,4541,4545,10494.0
30,2003/2/21,4536,4575,4507,4560,32742.0
31,2003/2/22,4566,4584,4512,4540,23238.0
32,2003/2/25,4575,4625,4514,4601,31360.0
33,2003/2/26,4540,4548,4434,4450,37750.0
34,2003/2/27,4480,4485,4442,4451,29982.0
35,2003/2/28,4410,4470,4362,4408,37404.0
36,2003/3/4,4453,4525,4435,4515,30658.0
37,2003/3/5,4461,4484,4430,4469,25400.0
38,2003/3/6,4400,4438,4380,4389,27320.0
39,2003/3/7,4410,4423,4385,4397,21262.0
40,2003/3/8,4348,4385,4321,4355,32740.0
41,2003/3/11,4380,4390,4314,4335,22904.0
42,2003/3/12,4275,4307,4231,4250,36678.0
43,2003/3/13,4260,4309,4251,4305,28120.0
44,2003/3/14,4273,4380,4267,4353,43728.0
45,2003/3/15,4520,4548,4476,4479,36020.0
46,2003/3/18,4420,4444,4316,4318,23586.0
47,2003/3/19,4451,4613,4451,4538,20338.0
48,2003/3/20,4531,4552,4491,4520,7266.0
49,2003/3/21,4560,4608,4483,4588,58088.0
50,2003/3/22,4574,4583,4547,4580,21212.0
51,2003/3/25,4630,4639,4540,4541,24642.0
52,2003/3/26,4453,4496,4453,4475,29154.0
53,2003/3/27,4500,4514,4462,4470,20110.0
54,2003/3/28,4456,4497,4442,4496,26098.0
55,2003/3/29,4496,4496,4441,4453,26608.0
56,2003/4/1,4410,4413,4264,4286,41096.0
57,2003/4/2,4261,4303,4261,4301,23550.0
58,2003/4/3,4285,4332,4250,4295,38498.0
59,2003/4/4,4383,4388,4322,4338,32874.0
60,2003/4/5,4308,4481,4297,4469,58090.0
61,2003/4/8,4501,4582,4465,4572,49734.0
62,2003/4/9,4483,4605,4472,4547,46046.0
63,2003/4/10,4515,4525,4491,4505,27032.0
64,2003/4/11,4492,4585,4481,4511,47820.0
65,2003/4/12,4525,4555,4493,4516,30126.0
66,2003/4/15,4521,4549,4426,4449,34280.0
67,2003/4/16,4479,4488,4445,4475,13234.0
68,2003/4/17,4510,4628,4510,4625,18028.0
69,2003/4/18,4553,4579,4540,4557,30424.0
70,2003/4/19,4639,4675,4620,4660,38174.0
71,2003/4/22,4650,4657,4612,4657,28056.0
72,2003/4/23,4620,4628,4559,4571,36164.0
73,2003/4/24,4600,4619,4552,4570,37150.0
74,2003/4/25,4580,4580,4322,4356,66910.0
75,2003/4/26,4300,4346,4211,4211,58616.0
